Country	Moss	Microbiome	Chamber	Week0	Week4	Condition	Growth	Tmax	Tmean	Torigin	MBMoss
Iceland	Fallax	SMH	12C	0.1523632	0.19186125	Warm	0.001410645	12	8.5	27	SM
Iceland	Fallax	SMH	12C	0.05833244	0.1086225	Warm	0.001796074	12	8.5	27	SM
Iceland	Fallax	SMH	12C	0.13101976	0.1807925	Warm	0.001777598	12	8.5	27	SM
Iceland	Fallax	SMC	12C	0.06982575	0.10235724	Ambient	0.001161839	12	8.5	12	SM
Iceland	Fallax	SMC	12C	0.06269795	0.1179154	Ambient	0.001972052	12	8.5	12	SM
Iceland	Fallax	SMC	12C	0.04574195	0.0817857	Ambient	0.001287277	12	8.5	12	SM
Iceland	Fallax	SMC	12C	0.0785157	0.10240114	Ambient	0.000853051	12	8.5	12	SM
Iceland	Fallax	SMC	12C	0.11125805	0.30526304	Ambient	0.00692875	12	8.5	12	SM
Iceland	Fallax	SMC	12C	0.04076505	0.13006692	Ambient	0.003189353	12	8.5	12	SM
Iceland	Fallax	SMC	12C	0.05729715	0.06684214	Ambient	0.000340893	12	8.5	12	SM
Iceland	Fallax	SMC	12C	0.06726665	0.08241786	Ambient	0.000541115	12	8.5	12	SM
Iceland	Fallax	SMC	12C	0.0898197	0.16307094	Ambient	0.002616116	12	8.5	12	SM
Iceland	Fallax	SMC	12C	0.0724712	0.12784558	Ambient	0.001977656	12	8.5	12	SM
Iceland	Fallax	SMC	12C	0.0998363	0.13419352	Ambient	0.001227044	12	8.5	12	SM
Iceland	Fallax	SMC	12C	0.11607795	0.11132162	Ambient	-0.000169869	12	8.5	12	SM
Iceland	Fallax	STH	12C	0.0727184	0.152972	Warm	0.0028662	12	8.5	27	ST
Iceland	Fallax	STH	12C	0.05743024	0.13392836	Warm	0.002732076	12	8.5	27	ST
Iceland	Fallax	STH	12C	0.04781216	0.10697964	Warm	0.002113124	12	8.5	27	ST
Iceland	Fallax	STH	12C	0.02450016	0.09916616	Warm	0.002666643	12	8.5	27	ST
Iceland	Fallax	STH	12C	0.07777936	0.19097684	Warm	0.004042767	12	8.5	27	ST
Iceland	Fallax	STH	12C	0.03911152	0.1038744	Warm	0.00231296	12	8.5	27	ST
Iceland	Fallax	STH	12C	0.07842608	0.1215532	Warm	0.001540254	12	8.5	27	ST
Iceland	Fallax	STH	12C	0.05841536	0.12756216	Warm	0.002469529	12	8.5	27	ST
Iceland	Fallax	STH	12C	0.07787712	0.17070576	Warm	0.003315309	12	8.5	27	ST
Iceland	Fallax	STH	12C	0.0665896	0.12625228	Warm	0.00213081	12	8.5	27	ST
Iceland	Fallax	STH	12C	0.06152112	0.0900428	Warm	0.001018631	12	8.5	27	ST
Iceland	Fallax	STH	12C	0.06479232	0.13193148	Warm	0.002397827	12	8.5	27	ST
Iceland	Fallax	STC	12C	0.0560475	0.15208716	Ambient	0.003429988	12	8.5	12	ST
Iceland	Fallax	STC	12C	0.21374748	0.16215782	Ambient	-0.001842488	12	8.5	12	ST
Iceland	Fallax	STC	12C	0.15512004	0.12637932	Ambient	-0.001026454	12	8.5	12	ST
Iceland	Fallax	STC	12C	0.23953662	0.24956272	Ambient	0.000358075	12	8.5	12	ST
Iceland	Fallax	STC	12C	0.16578538	0.28562218	Ambient	0.004279886	12	8.5	12	ST
