Country	Moss	Microbiome	Chamber	Week0	Week4	Condition	Growth	Tmax	Tmean	Torigin	MBMoss
Sweden	Fallax	BAA	2.25C	0.14964908	0.21106035	Ambient	0.00219326	23.25	19	17.7	BA
Sweden	Fallax	BAA	2.25C	0.376303532	0.62395891	Ambient	0.008844835	23.25	19	17.7	BA
Sweden	Fallax	BAA	2.25C	0.258911516	0.272031275	Ambient	0.000468563	23.25	19	17.7	BA
Sweden	Fallax	BAA	2.25C	0.189361268	0.18090039	Ambient	-0.000302174	23.25	19	17.7	BA
Sweden	Fallax	BAA	4.5C	0.286245045	0.295084379	Ambient	0.000315691	25.5	21.25	17.7	BA
Sweden	Fallax	BAA	4.5C	0.35476961	0.412735677	Ambient	0.002070217	25.5	21.25	17.7	BA
Sweden	Fallax	BAA	4.5C	0.451588102	0.51135123	Ambient	0.002134397	25.5	21.25	17.7	BA
Sweden	Fallax	BAA	4.5C	0.212031258	0.274192701	Ambient	0.002220052	25.5	21.25	17.7	BA
Sweden	Fallax	BAA	4.5C	0.122788653	0.26194714	Ambient	0.004969946	25.5	21.25	17.7	BA
Sweden	Fallax	BAA	4.5C	0.058601794	0.314330015	Ambient	0.009133151	25.5	21.25	17.7	BA
Sweden	Fallax	BAA	9C	0.085629321	0.0700196	Ambient	-0.00055749	30	25.75	17.7	BA
Sweden	Fallax	BAA	9C	0.024040027	0.0463964	Ambient	0.000798442	30	25.75	17.7	BA
Sweden	Fallax	BAA	9C	0.037671419	0.05984	Ambient	0.000791735	30	25.75	17.7	BA
Sweden	Fallax	BAA	9C	0.027010912	0.1173136	Ambient	0.003225096	30	25.75	17.7	BA
Sweden	Fallax	BAA	9C	0.023101611	0.0652868	Ambient	0.001506614	30	25.75	17.7	BA
Sweden	Fallax	BAA	9C	0.022919659	0.06562	Ambient	0.001525012	30	25.75	17.7	BA
Sweden	Fallax	BAW	0C	0.3696623	0.436132049	Warm	0.00237392	21	16.75	20.5	BA
Sweden	Fallax	BAW	0C	0.368064508	0.387203744	Warm	0.000683544	21	16.75	20.5	BA
Sweden	Fallax	BAW	0C	0.301436154	0.39800894	Warm	0.003449028	21	16.75	20.5	BA
Sweden	Fallax	BAW	0C	0.26223155	0.301407586	Warm	0.001399144	21	16.75	20.5	BA
Sweden	Fallax	BAW	0C	0.146695717	0.1902341	Warm	0.001554942	21	16.75	20.5	BA
Sweden	Fallax	BAW	0C	0.234073778	0.274461628	Warm	0.001442423	21	16.75	20.5	BA
Sweden	Fallax	BAW	2.25C	0.268309265	0.3157902	Warm	0.001695748	23.25	19	20.5	BA
Sweden	Fallax	BAW	2.25C	0.15930484	0.253134	Warm	0.003351041	23.25	19	20.5	BA
Sweden	Fallax	BAW	2.25C	0.18126179	0.2122242	Warm	0.0011058	23.25	19	20.5	BA
Sweden	Fallax	BAW	2.25C	0.479754851	0.8723652	Warm	0.014021798	23.25	19	20.5	BA
Sweden	Fallax	BAW	2.25C	0.111308799	0.251412	Warm	0.005003686	23.25	19	20.5	BA
